order_id,delivery_date,delay_days
1,2025-03-06,0
2,2025-01-19,0
3,2025-08-17,0
4,2025-07-15,0
5,2025-08-12,1
6,2025-11-27,4
7,2026-01-05,3
8,2025-03-04,0
9,2025-06-23,4
10,2025-02-19,2
11,2025-11-30,4
12,2025-05-06,5
13,2025-12-18,0
14,2025-08-25,1
15,2025-07-28,5
16,2025-04-12,0
17,2025-05-24,5
18,2025-05-07,0
19,2025-11-06,4
20,2025-05-16,0
21,2025-12-09,1
22,2025-12-30,4
23,2025-06-18,4
24,2025-01-24,1
25,2025-10-19,0
26,2025-02-22,0
27,2025-04-28,0
28,2025-12-06,0
29,2025-05-23,2
30,2025-03-03,1
31,2025-07-11,4
32,2025-08-24,4
33,2025-08-09,1
34,2025-03-29,0
35,2025-11-27,5
36,2025-09-10,4
37,2025-05-14,0
38,2025-09-03,0
39,2025-09-09,0
40,2025-01-09,0
41,2025-06-19,1
42,2025-07-19,0
43,2025-04-08,3
44,2025-12-29,0
45,2025-08-27,4
46,2025-01-22,4
47,2025-11-10,5
48,2025-03-29,1
49,2025-02-04,2
50,2025-08-31,5
51,2025-05-22,0
52,2025-12-21,1
53,2025-06-17,4
54,2025-10-04,5
55,2025-03-19,1
56,2025-01-20,1
57,2025-06-17,0
58,2025-08-02,0
59,2025-02-23,1
60,2025-07-22,5
61,2025-07-23,0
62,2025-04-11,0
63,2025-12-03,2
64,2026-01-07,5
65,2025-07-12,2
66,2025-04-10,0
67,2025-10-21,0
68,2025-07-11,0
69,2025-10-18,0
70,2025-09-09,4
71,2025-01-24,5
72,2025-04-12,1
73,2025-02-09,4
74,2025-01-15,3
75,2025-11-22,4
76,2025-08-03,0
77,2025-09-10,4
78,2025-10-23,0
79,2025-05-13,5
80,2025-02-24,4
81,2025-08-09,0
82,2025-06-30,0
83,2025-09-22,1
84,2025-09-22,0
85,2025-10-07,5
86,2025-10-10,4
87,2025-12-27,1
88,2025-10-25,3
89,2025-08-25,1
90,2025-07-09,1
91,2025-03-28,3
92,2025-01-17,5
93,2025-06-26,0
94,2025-01-10,1
95,2025-08-15,0
96,2025-01-15,4
97,2025-09-22,0
98,2025-02-01,5
99,2025-11-11,0
100,2025-09-12,3
101,2025-09-19,5
102,2025-02-12,0
103,2025-08-09,0
104,2025-03-04,0
105,2025-04-10,0
106,2025-12-21,0
107,2025-04-19,4
108,2025-02-01,3
109,2025-02-07,0
110,2025-08-26,0
111,2025-02-01,0
112,2025-01-24,1
113,2025-11-13,0
114,2025-09-19,5
115,2025-05-10,0
116,2025-07-25,1
117,2025-10-16,0
118,2025-08-28,0
119,2025-12-24,0
120,2025-06-08,4
121,2025-06-03,5
122,2025-06-12,4
123,2025-08-23,0
124,2025-12-09,2
125,2025-04-29,3
126,2025-12-20,0
127,2025-11-17,5
128,2025-11-25,0
129,2025-11-22,0
130,2025-10-10,0
131,2025-04-03,5
132,2025-04-25,1
133,2025-10-29,0
134,2025-01-15,4
135,2025-07-19,2
136,2025-08-24,3
137,2025-11-30,3
138,2025-09-05,4
139,2025-08-24,3
140,2025-06-03,5
141,2025-07-28,2
142,2025-01-12,0
143,2025-06-06,3
144,2025-06-21,4
145,2025-10-29,5
146,2025-05-07,5
147,2025-10-11,5
148,2025-08-01,3
149,2025-03-20,1
150,2025-09-25,1
151,2025-01-03,0
152,2025-04-16,2
153,2025-03-26,0
154,2025-09-27,0
155,2025-09-14,5
156,2025-02-07,0
157,2025-04-19,0
158,2025-01-19,0
159,2025-04-02,0
160,2025-08-26,0
161,2025-07-03,4
162,2025-10-07,0
163,2025-01-09,0
164,2025-09-20,2
165,2025-06-21,0
166,2025-05-31,0
167,2025-02-24,3
