order_id,return_reason,return_date
44458,Late Delivery,2025-06-14
96817,Late Delivery,2025-05-21
30720,Damaged,2025-10-10
92539,Late Delivery,2025-09-21
22432,Late Delivery,2025-12-25
53949,Wrong Item,2025-07-01
24112,Wrong Item,2025-07-19
83338,Damaged,2025-09-24
38921,Late Delivery,2025-09-08
45497,Damaged,2025-03-13
90755,Not Needed,2025-10-27
64107,Wrong Item,2025-01-07
78298,Wrong Item,2025-08-28
10481,Wrong Item,2025-02-22
67556,Damaged,2025-03-08
44092,Not Needed,2025-03-18
30954,Not Needed,2025-05-20
48299,Damaged,2025-02-02
97241,Not Needed,2025-01-07
39094,Damaged,2025-08-11
83919,Late Delivery,2025-06-20
89639,Not Needed,2025-03-07
35209,Damaged,2025-05-26
94499,Wrong Item,2025-10-26
79978,Not Needed,2025-05-21
92252,Wrong Item,2025-06-03
4810,Late Delivery,2025-08-12
39479,Not Needed,2025-08-06
79796,Late Delivery,2025-03-05
96371,Wrong Item,2025-01-15
51156,Late Delivery,2025-04-04
55149,Wrong Item,2025-07-14
98160,Late Delivery,2025-03-24
35462,Late Delivery,2025-01-21
4783,Damaged,2025-05-15
69386,Not Needed,2025-01-18
37551,Damaged,2025-11-03
31700,Wrong Item,2025-05-12
69319,Late Delivery,2025-02-14
28608,Not Needed,2025-09-11
79657,Wrong Item,2025-07-01
95381,Not Needed,2025-07-07
81807,Damaged,2025-09-14
72723,Not Needed,2025-12-18
13556,Not Needed,2025-04-15
38743,Not Needed,2025-09-26
9818,Not Needed,2025-09-11
97481,Not Needed,2025-10-18
72208,Late Delivery,2025-02-23
42168,Damaged,2025-04-18
65453,Not Needed,2025-05-21
10498,Wrong Item,2025-11-04
68757,Not Needed,2025-05-31
92264,Wrong Item,2025-09-02
36935,Late Delivery,2025-05-12
10709,Damaged,2025-09-17
49031,Late Delivery,2025-10-21
2642,Damaged,2025-01-27
38871,Not Needed,2025-01-01
63895,Wrong Item,2025-09-24
63486,Not Needed,2025-09-12
62607,Late Delivery,2025-12-15
31815,Damaged,2025-10-09
71209,Damaged,2025-02-14
24446,Damaged,2025-03-15
21701,Damaged,2025-07-08
63123,Wrong Item,2025-11-03
98441,Damaged,2025-02-06
46181,Damaged,2025-12-11
21516,Wrong Item,2025-08-27
71570,Wrong Item,2025-04-01
3329,Damaged,2025-10-31
92444,Wrong Item,2025-11-06
9626,Damaged,2025-06-06
70267,Late Delivery,2025-02-13
55316,Late Delivery,2025-01-26
25666,Late Delivery,2025-12-15
99038,Late Delivery,2025-03-24
50218,Not Needed,2025-12-22
86821,Not Needed,2025-01-23
85758,Damaged,2025-11-29
62565,Wrong Item,2025-12-16
48025,Wrong Item,2025-06-10
82244,Wrong Item,2025-07-01
10304,Wrong Item,2025-04-06
87669,Wrong Item,2025-05-15
49969,Wrong Item,2025-12-25
95892,Not Needed,2025-06-11
98520,Damaged,2025-12-08
29420,Late Delivery,2025-11-24
61904,Not Needed,2025-12-21
75812,Not Needed,2025-09-16
62541,Damaged,2025-05-28
70598,Late Delivery,2025-04-14
62334,Damaged,2025-03-25
91486,Damaged,2025-11-18
734,Wrong Item,2025-11-16
13367,Wrong Item,2025-04-18
6181,Damaged,2025-07-05
7700,Wrong Item,2025-02-22
54102,Wrong Item,2025-08-03
81067,Late Delivery,2025-09-01
27347,Wrong Item,2025-02-26
71409,Late Delivery,2025-05-01
52240,Late Delivery,2025-05-28
60587,Not Needed,2025-08-31
19322,Damaged,2025-08-24
6055,Not Needed,2025-04-19
17764,Wrong Item,2025-09-25
99492,Damaged,2025-10-14
21916,Not Needed,2025-04-25
45042,Not Needed,2025-06-29
96740,Damaged,2025-10-19
11939,Damaged,2025-03-05
57398,Damaged,2025-08-06
66190,Damaged,2025-06-17
99719,Late Delivery,2025-12-09
97027,Not Needed,2025-03-27
5716,Wrong Item,2025-01-02
38992,Not Needed,2025-02-28
97870,Not Needed,2025-07-14
94770,Wrong Item,2025-02-21
55398,Damaged,2025-07-17
5811,Late Delivery,2025-08-27
42009,Damaged,2025-10-07
58594,Late Delivery,2025-11-23
18849,Wrong Item,2025-01-30
78056,Late Delivery,2025-09-23
52192,Damaged,2025-11-09
25476,Wrong Item,2025-07-13
14764,Damaged,2025-10-28
23754,Wrong Item,2025-04-16
22767,Not Needed,2025-06-13
16809,Wrong Item,2025-01-12
73284,Late Delivery,2025-05-11
76571,Wrong Item,2025-07-20
25849,Not Needed,2025-03-25
95481,Damaged,2025-09-07
49087,Not Needed,2025-05-17
91759,Late Delivery,2025-07-31
99328,Wrong Item,2025-02-09
42061,Damaged,2025-03-31
98469,Late Delivery,2025-02-01
46846,Wrong Item,2025-05-13
67695,Wrong Item,2025-05-28
63161,Late Delivery,2025-11-20
43917,Late Delivery,2025-04-09
38869,Damaged,2025-08-28
63574,Not Needed,2025-03-28
43436,Damaged,2025-01-11
85588,Late Delivery,2025-10-13
71730,Not Needed,2025-01-21
52906,Not Needed,2025-02-14
97972,Wrong Item,2025-04-20
67878,Damaged,2025-08-26
74505,Wrong Item,2025-10-10
1586,Wrong Item,2025-11-20
31855,Damaged,2025-04-17
65937,Wrong Item,2025-01-03
67308,Damaged,2025-07-18
99170,Not Needed,2025-03-11
58034,Damaged,2025-09-26
37159,Late Delivery,2025-07-19
8615,Damaged,2025-11-14
87835,Wrong Item,2025-09-10
31588,Damaged,2025-12-13
12891,Wrong Item,2025-07-20
76216,Not Needed,2025-04-13
50921,Damaged,2025-06-19
93967,Late Delivery,2025-07-03
32868,Wrong Item,2025-09-20
36415,Not Needed,2025-11-02
44005,Not Needed,2025-09-20
82430,Not Needed,2025-02-18
56079,Late Delivery,2025-02-20
79702,Damaged,2025-07-31
11042,Not Needed,2025-01-26
75758,Wrong Item,2025-09-15
50235,Damaged,2025-05-02
5601,Late Delivery,2025-06-21
26956,Damaged,2025-09-25
90976,Wrong Item,2025-11-28
12611,Not Needed,2025-08-25
94163,Wrong Item,2025-01-15
67553,Wrong Item,2025-04-29
10540,Late Delivery,2025-12-06
87295,Wrong Item,2025-07-14
78687,Late Delivery,2025-03-26
33413,Late Delivery,2025-12-19
20134,Late Delivery,2025-10-23
57628,Wrong Item,2025-05-24
91167,Not Needed,2025-08-12
836,Not Needed,2025-10-17
73666,Wrong Item,2025-09-26
90880,Late Delivery,2025-06-25
18463,Wrong Item,2025-07-27
15810,Wrong Item,2025-02-22
67266,Late Delivery,2025-08-12
29548,Not Needed,2025-12-21
94350,Not Needed,2025-10-02
68746,Wrong Item,2025-08-08
83933,Wrong Item,2025-03-31
49769,Late Delivery,2025-01-25
150,Wrong Item,2025-09-19
81729,Late Delivery,2025-11-30
99378,Damaged,2025-08-05
73843,Wrong Item,2025-06-21
63266,Not Needed,2025-07-24
10136,Wrong Item,2025-07-14
12528,Late Delivery,2025-08-22
37052,Late Delivery,2025-04-05
93516,Wrong Item,2025-12-31
25319,Not Needed,2025-06-24
14321,Wrong Item,2025-06-21
98487,Late Delivery,2025-10-08
16979,Not Needed,2025-10-03
908,Late Delivery,2025-12-24
34666,Damaged,2025-11-26
43617,Damaged,2025-01-26
41018,Damaged,2025-08-11
27483,Damaged,2025-04-10
72534,Not Needed,2025-05-05
48753,Late Delivery,2025-10-23
14950,Late Delivery,2025-05-11
54799,Wrong Item,2025-12-23
57807,Wrong Item,2025-06-01
75414,Late Delivery,2025-07-21
54976,Not Needed,2025-12-23
37393,Wrong Item,2025-10-19
77699,Damaged,2025-07-08
54208,Wrong Item,2025-07-27
57270,Not Needed,2025-11-26
80174,Damaged,2025-01-25
4871,Not Needed,2025-12-21
94625,Damaged,2025-10-23
60730,Not Needed,2025-06-04
56784,Not Needed,2025-09-13
53709,Not Needed,2025-06-16
12240,Wrong Item,2025-08-02
25559,Damaged,2025-10-26
13757,Late Delivery,2025-12-18
22170,Not Needed,2025-12-27
88432,Wrong Item,2025-04-15
32951,Wrong Item,2025-01-24
57237,Wrong Item,2025-09-19
9012,Damaged,2025-11-20
33477,Not Needed,2025-08-02
29042,Not Needed,2025-07-07
64538,Damaged,2025-01-26
90352,Damaged,2025-09-19
54559,Wrong Item,2025-02-25
4185,Not Needed,2025-12-31
14008,Wrong Item,2025-03-02
64461,Wrong Item,2025-12-14
53105,Wrong Item,2025-07-05
88255,Wrong Item,2025-10-15
25845,Late Delivery,2025-04-26
35665,Not Needed,2025-06-15
78326,Not Needed,2025-07-09
93714,Wrong Item,2025-09-07
7117,Late Delivery,2025-03-23
